pmid,title,journal,year,abstract,authors,tier,relevance_score,matched_keywords,tissues_mentioned,priority_score
35637286,"Assessment of AAV9 distribution and transduction in rats after administration through Intrastriatal, Intracisterna magna and Lumbar Intrathecal routes.",Gene therapy,2023,"Challenges in obtaining efficient transduction of brain and spinal cord following systemic AAV delivery have led to alternative administration routes being used in clinical trials that directly infuse the virus into the CNS. However, data comparing different direct AAV injections into the brain remain limited making it difficult to choose optimal routes. Here we tested both AAV9-egfp and AAV9-fLuc delivery via intrastriatal (IST), intracisterna magna (ICM) and lumbar intrathecal (LIT) routes in adult rats and assessed vector distribution and transduction in brain, spinal cord and peripheral tissues. We find that IST infusion leads to robust transgene expression in the striatum, thalamus and cortex with lower peripheral tissue transduction and anti-AAV9 capsid titers compared to ICM or LIT. ICM delivery provided strong GFP and luciferase expression across more brain regions than the other routes and similar expression in the spinal cord to LIT injections, which itself largely failed to transduce the rat brain. Our data highlight the strengths and weaknesses of each direct CNS delivery route which will help with future clinical targeting.","['Chandran', 'Chowdhury', 'Perkinton']",2,9,"transduction, gene expression, transgene expression","liver, brain, cortex, striatum, spinal cord",24
39991760,Intramuscular Injection of rAAV2-retro for Low Motor Neuron Transduction: Evaluating Five Promoters.,International journal of medical sciences,2025,"Recombinant adeno-associated viral vectors (rAAVs) can effectively deliver transgene to the nervous system. The selection of AAV serotype and promoter significantly influences the dynamics of the transgene expression, including its strength and cell-specificity. Previous studies demonstrated that in neonatal mice, the intramuscular (IM) injection of the rAAV2-retro vector could efficiently deliver transgene to lower motor neurons (LMNs) of the brainstem and spinal cord. However, the best promoter for the expression of transgene in the central neural system (CNS) using rAAV2-retro remains undetermined. This study compared five commonly used promoters, including mouse phosphoglycerate kinase (mPGK), CMV early enhancer/chicken β-actin/short β-globulin intron (CAG), human cytomegalovirus (hCMV), chicken β-actin (CBA), and human synapsin (hSyn) promoters. The IM (unilateral gastrocnemius muscle) injection of rAAV2-retro vectors packaged with the reporter constructs containing each promoter was performed in the newborn C57BL/6J mice. The levels of gene expression and the types of cells were examined using the light-sheet illumination imaging technique and confocal microscopy. Our findings revealed that rAAV2-retro primarily targeted the brainstem and spinal cord within the CNS. Among the five promoters tested, CAG and hCMV showed the highest gene expression. Almost all the transduced cells were identified as LMNs. Additionally, gene expression driven by hCMV was found to be dependent of the inclusion of WPRE and β-globin intron elements. Importantly, none of the promoters induced hepatotoxicity, ensuring the safety of rAAV2-retro-mediated expression. This study provided valuable insights for optimizing the rAAV2-retro-mediated gene delivery system to LMNs in the brainstem and spinal cord, which might have potential implications for research on motor neuron-related diseases.","['Gong', 'Gao', 'Wang']",2,9,"transduction, gene expression, transgene expression","liver, brain, muscle, neural, spinal cord",24
37553329,A mosaic adeno-associated virus vector as a versatile tool that exhibits high levels of transgene expression and neuron specificity in primate brain.,Nature communications,2023,"Recent emphasis has been placed on gene transduction mediated through recombinant adeno-associated virus (AAV) vector to manipulate activity of neurons and their circuitry in the primate brain. In the present study, we created a novel vector of which capsid was composed of capsid proteins derived from both of the AAV serotypes 1 and 2 (AAV1 and AAV2). Following the injection into the frontal cortex of macaque monkeys, this mosaic vector, termed AAV2.1 vector, was found to exhibit the excellence in transgene expression (for AAV1 vector) and neuron specificity (for AAV2 vector) simultaneously. To explore its applicability to chemogenetic manipulation and in vivo calcium imaging, the AAV2.1 vector expressing excitatory DREADDs or GCaMP was injected into the striatum or the visual cortex of macaque monkeys, respectively. Our results have defined that such vectors secure intense and stable expression of the target proteins and yield conspicuous modulation and imaging of neuronal activity.","['Kimura', 'Nagai', 'Hatanaka']",2,9,"transduction, gene expression, transgene expression","brain, cortex, striatum",24
34234013,Design and proof of concept for targeted phage-based COVID-19 vaccination strategies with a streamlined cold-free supply chain.,Proceedings of the National Academy of Sciences of the United States of America,2021,"Development of effective vaccines against coronavirus disease 2019 (COVID-19) is a global imperative. Rapid immunization of the entire human population against a widespread, continually evolving, and highly pathogenic virus is an unprecedented challenge, and different vaccine approaches are being pursued. Engineered filamentous bacteriophage (phage) particles have unique potential in vaccine development due to their inherent immunogenicity, genetic plasticity, stability, cost-effectiveness for large-scale production, and proven safety profile in humans. Herein we report the development and initial evaluation of two targeted phage-based vaccination approaches against SARS-CoV-2: dual ligand peptide-targeted phage and adeno-associated virus/phage (AAVP) particles. For peptide-targeted phage, we performed structure-guided antigen design to select six solvent-exposed epitopes of the SARS-CoV-2 spike (S) protein. One of these epitopes displayed on the major capsid protein pVIII of phage induced a specific and sustained humoral response when injected in mice. These phage were further engineered to simultaneously display the peptide CAKSMGDIVC on the minor capsid protein pIII to enable their transport from the lung epithelium into the systemic circulation. Aerosolization of these ""dual-display"" phage into the lungs of mice generated a systemic and specific antibody response. In the second approach, targeted AAVP particles were engineered to deliver the entire S protein gene under the control of a constitutive CMV promoter. This induced tissue-specific transgene expression, stimulating a systemic S protein-specific antibody response in mice. With these proof-of-concept preclinical experiments, we show that both targeted phage- and AAVP-based particles serve as robust yet versatile platforms that can promptly yield COVID-19 vaccine prototypes for translational development.","['Staquicini', 'Tang', 'Markosian']",2,8,"gene expression, transgene expression, tissue-specific","liver, lung",23
40792200,Rapid cochlear gene therapy in adult deaf mice: <i>Vglut3</i> rescue via AAV8 achieves day-1 hearing restoration.,Molecular therapy. Methods & clinical development,2025,"Genetic hearing loss, caused by mutations in critical auditory genes, has seen promising advances through gene therapy, yet the temporal dynamics of early-stage auditory functional recovery and therapeutic transgene expression patterns following intervention remain uncharacterized in preclinical deafness models. This study systematically investigates the post-treatment progression of cochlear functional restoration and spatially resolved transgene expression kinetics in adult <i>Vglut3</i> knockout (<i>Vglut3</i> <sup><i>KO</i></sup> ) mice following adeno-associated virus (AAV)-mediated inner ear gene therapy. AAV8 vectors delivering <i>Vglut3</i> were injected via the posterior semicircular canal (PSCC), with auditory brainstem response (ABR) thresholds and cochlear transgene expression assessed at days 1-14 post-injection. VGLUT3 expression in <i>Vglut3</i> <sup><i>KO</i></sup> mice revealed rapid transduction, detectable in inner hair cells (IHCs) by day 1, peaking at day 14. Remarkably, hearing recovery commenced as early as day 1 post-injection, and plateaued near wild-type (WT) levels by day 5. Functional correlation analysis demonstrated a robust inverse relationship between FLAG expression and hearing thresholds. This study provides critical insights into the dynamic processes underlying cochlear gene therapy and challenges the conventional paradigm that 1-2 weeks are required for functional recovery.","['Zhang', 'Zhai', 'Liu']",2,8,"transduction, gene expression, transgene expression","liver, brain",23
41271662,Multiscale red blood cell hitchhiking for targeted deep tissue gene delivery in lungs.,Nature communications,2025,"The clinical impact of gene therapies is constrained by poor delivery to target tissues beyond the liver after intravenous administration. Current molecular targeting strategies, such as capsid engineering or gene-carrier surface modification, have achieved only limited success due to their inability to overcome the hierarchical barriers from injection to deep tissue transduction. Here, we introduce a Multiscale Approach using RBC-mediated hitchhiking and Vascular Endothelium Leakage (MARVEL), which integrates red blood cell hitchhiking with VEGF-induced vascular permeabilization to enhance accumulation and penetration of cargoes. Using adeno-associated viruses (AAVs) as a model, MARVEL markedly increases AAV localization in the lungs, improves endothelial transcytosis, and enables gene expression in deeper tissue layers while maintaining a favorable safety profile. We further demonstrate that MARVEL can be adopted into an in situ hitchhiking approach, bypassing the need for ex vivo formulation. MARVEL provides a scalable strategy to address long-standing delivery challenges in gene therapy.","['Park', 'Chandran Suja', 'Kim']",2,8,"transduction, gene expression, intravenous administration","liver, lung",23
37272896,Extracellular vesicles enhance pulmonary transduction of stably associated adeno-associated virus following intratracheal administration.,Journal of extracellular vesicles,2023,"Adeno-associated virus (AAV) vector has shown multiple clinical breakthroughs, but its clinical implementation in inhaled gene therapy remains elusive due to difficulty in transducing lung airway cells. We demonstrate here AAV serotype 6 (AAV6) associated with extracellular vesicles (EVs) and secreted from vector-producing HEK-293 cells during vector preparation (EVAAV6) as a safe and highly efficacious gene delivery platform for inhaled gene therapy applications. Specifically, we discovered that EVAAV6 provided markedly enhanced reporter transgene expression in mucus-covered air-liquid interface (ALI) cultures of primary human bronchial and nasal epithelial cells as well as in mouse lung airways compared to standard preparations of AAV6 alone. Of note, AAV6 has been previously shown to outperform other clinically tested AAV serotypes, including those approved by the FDA for treating non-lung diseases, in transducing ALI cultures of primary human airway cells. We provide compelling experimental evidence that the superior performance of EVAAV6 is attributed to the ability of EV to facilitate mucus penetration and cellular entry/transduction of AAV6. The tight and stable linkage between AAV6 and EVs appears essential to exploit the benefits of EVs given that a physical mixture of individually prepared EVs and AAV6 failed to mediate EV-AAV6 interactions or to enhance gene transfer efficacy.","['Kwak', 'Gololobova', 'Sharma']",2,8,"transduction, gene expression, transgene expression","liver, lung",23
33883545,AAV2/9-mediated silencing of PMP22 prevents the development of pathological features in a rat model of Charcot-Marie-Tooth disease 1 A.,Nature communications,2021,"Charcot-Marie-Tooth disease 1 A (CMT1A) results from a duplication of the PMP22 gene in Schwann cells and a deficit of myelination in peripheral nerves. Patients with CMT1A have reduced nerve conduction velocity, muscle wasting, hand and foot deformations and foot drop walking. Here, we evaluate the safety and efficacy of recombinant adeno-associated viral vector serotype 9 (AAV2/9) expressing GFP and shRNAs targeting Pmp22 mRNA in animal models of Charcot-Marie-Tooth disease 1 A. Intra-nerve delivery of AAV2/9 in the sciatic nerve allowed widespread transgene expression in resident myelinating Schwann cells in mice, rats and non-human primates. A bilateral treatment restore expression levels of PMP22 comparable to wild-type conditions, resulting in increased myelination and prevention of motor and sensory impairments over a twelve-months period in a rat model of CMT1A. We observed limited off-target transduction and immune response using the intra-nerve delivery route. A combination of previously characterized human skin biomarkers is able to discriminate between treated and untreated animals, indicating their potential use as part of outcome measures.","['Gautier', 'Hajjar', 'Soares']",2,8,"transduction, gene expression, transgene expression","liver, muscle",23
35780495,Red Blood Cell Anchoring Enables Targeted Transduction and Re-Administration of AAV-Mediated Gene Therapy.,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",2022,"Adeno-associated virus (AAV)-mediated gene therapy is a promising therapeutic modality for curing many diseases including monogenic diseases. However, limited tissue-targeting and restricted re-administration due to the vector immunogenicity largely restrict its therapeutic potential. Here, using a red blood cell (RBC) as the carrier vehicle for AAV is demonstrated to improve its tissue-targeted transduction and enable its re-administration. Anchoring AAV to the RBC surface minimally affected its infectability toward endothelial cells. Meanwhile, AAV anchored onto RBCs is predominantly delivered to and shows efficient transduction in the lungs by virtue of the biophysical features of RBCs. RBC-anchored AAVs lead to a four- to five-fold enhancement in target gene expression in the lungsas compared to free AAVs following a single- or dual-dosing regimen. While RBC anchoring does not prevent the induction of adaptive immune responses against AAV, it results in successful transgene expression upon re-administration following prior AAV exposure. The ability to re-administer is partially attributed to the delayed and reduced AAV neutralization by neutralizing antibodies, resulting from the combination of limited exposure of physically confined AAVs and the short time required to reach the lungs. This study's findings suggest that the RBC-mediated approach is a promising strategy for repetitive, targeted AAV gene therapy.","['Zhao', 'Kim', 'Suja']",2,8,"transduction, gene expression, transgene expression","liver, lung",23
33652020,Selective targeting of striatal parvalbumin-expressing interneurons for transgene delivery.,Journal of neuroscience methods,2021,"PV<sup>Cre</sup> mice--> combined with AAV-FLEX vectors allowed efficient and specific targeting of PV<sup>+</sup> interneurons in the striatum. However, diffusion of viral particles to the globus pallidus caused massive transduction of PV<sup>+</sup> projection neurons and subsequent anterograde transport of the transgene product to the subthalamic nucleus and the substantia nigra pars reticulata. Different AAV serotypes (1 and 9) and promoters (CBA and human synapsin) were evaluated. The combination of AAV1, a moderate expression level (human synapsin promoter) and a precise adjustment of the stereotaxic coordinates in the anterior and dorsolateral part of the striatum were necessary to avoid transduction of PV<sup>+</sup> GP projection neurons. Even in the absence of direct transduction due to diffusion of viral particles, GP PV<sup>+</sup> projection neurons could be retrogradely transduced via their terminals present in the dorsal striatum. However, in the absence of diffusion, GP-Str PV<sup>+</sup> projection neurons were poorly or not transduced suggesting that retrograde transduction did not significantly impair the selective targeting of striatal PV<sup>+</sup> neurons. Finally, a prominent reduction of the number of striatal PV<sup>+</sup> interneurons (about 50 %) was evidenced in the presence of the Cre recombinase suggesting that functional effects of AAV-mediated transgene expression in PV<sup>+</sup> striatal interneurons in PV<sup>Cre</sup> mice should be analyzed with caution.","['Duarte Azevedo', 'Sander', 'Jeanneret']",2,8,"transduction, gene expression, transgene expression","liver, striatum",23
41376158,Administration of a barcoded AAV capsid library to the putamen of non-human primates identifies variants with efficient retrograde transport.,Molecular therapy : the journal of the American Society of Gene Therapy,2025,"Adeno-associated viral vectors have become a leading choice for gene therapy in the central nervous system due to their safety profile, efficient neuronal transduction, and capacity for sustained transgene expression. We previously reported that AAV2-derived capsids developed using the BRAVE (Barcoded Rational AAV Vector Evolution) approach have enhanced retrograde transport properties in the rodent brain, compared with parental AAV2. Retrograde transport enables broader coverage of connected brain regions after a single focal intraparenchymal brain injection and is therefore a powerful tool for delivery of vectors to distant sites with potentially higher specificity, transduction efficacy, and safety. Because transport properties can vary among species, we further characterized a barcoded library of 25 BRAVE-derived AAV2 capsid variants, along with the parental AAV2 serotype and benchmark AAV capsids, in brains of adult cynomolgus monkeys after intraputaminal dosing. Based on RNA and DNA amplicon sequencing, single-nucleus RNA sequencing, and histological assessment, we report here capsid variants with enhanced retrograde transport and expression compared with the parental AAV2 capsid. These properties make them potentially useful for disease indications in which broader brain coverage is desirable beyond the injection site.","['Dzhashiashvili', 'McBride', 'Fabyanic']",2,8,"transduction, gene expression, transgene expression","liver, brain",23
41124321,"Design and Characterization of 4D-710, an Aerosolized Gene Therapy for Cystic Fibrosis Lung Disease.",American journal of respiratory cell and molecular biology,2025,"Cystic fibrosis (CF) is an autosomal recessive disease caused by variants in the gene encoding the CF transmembrane conductance regulator (CFTR) protein. Delivery of a functional CFTR transgene to airway epithelial cells (AEC) offers the potential to provide durable restoration of normal CFTR function. Adeno-associated virus (AAV) vectors are the leading platform for the delivery of <i>in vivo</i> gene therapy; however, wild-type AAV vectors exhibit a limited capacity to transduce airway cells and evade pre-existing human neutralizing antibodies (NAb). We therefore employed a directed evolution platform to invent a novel AAV capsid (A101) with the capacity to efficiently transduce AECs, including in the presence of NAbs, following aerosolized administration to nonhuman primates (NHP). We then engineered 4D-710, a gene therapy comprising the A101 vector and a <i>CFTR</i> transgene with a partial deletion in the regulatory domain (<i>CFTRΔR</i>) to facilitate vector packaging. 4D-710 exhibited efficient transduction of human bronchial epithelial (HBE) cell air-liquid interface (ALI) cultures in vitro and robust functional activity in CF HBE ALI cultures. Aerosolized administration of 4D-710 to NHPs was well tolerated and resulted in dose-dependent transgene expression and increased CFTR protein in diverse AEC types compared to vehicle controls. No significant differences in <i>CFTRΔR</i> mRNA levels were observed in lung samples from NHPs with pre-existing serum anti-capsid NAbs compared to NAb-negative NHPs. These findings demonstrate the tolerability and feasibility of A101-mediated transgene delivery and expression in primate airways. A clinical trial evaluating aerosol delivery of 4D-710 in adults with CF (NCT05248230) is underway.","['Calton', 'Croze', 'Sullivan']",2,8,"transduction, gene expression, transgene expression","liver, lung",23
