Data_extracted,pmid,title,journal,year,abstract,authors,tier,relevance_score,matched_keywords,tissues_mentioned,priority_score,Notes
,21562590,Corticospinal tract transduction: a comparison of seven adeno-associated viral vector serotypes and a non-integrating lentiviral vector.,Gene therapy,2012,"The corticospinal tract (CST) is extensively used as a model system for assessing potential therapies to enhance neuronal regeneration and functional recovery following spinal cord injury (SCI). However, efficient transduction of the CST is challenging and remains to be optimised. Recombinant adeno-associated viral (AAV) vectors and integration-deficient lentiviral vectors are promising therapeutic delivery systems for gene therapy to the central nervous system (CNS). In the present study the cellular tropism and transduction efficiency of seven AAV vector serotypes (AAV1, 2, 3, 4, 5, 6, 8) and an integration-deficient lentiviral vector were assessed for their ability to transduce corticospinal neurons (CSNs) following intracortical injection. AAV1 was identified as the optimal serotype for transducing cortical and CSNs with green fluorescent protein (GFP) expression detectable in fibres projecting through the dorsal CST (dCST) of the cervical spinal cord. In contrast, AAV3 and AAV4 demonstrated a low efficacy for transducing CNS cells and AAV8 presented a potential tropism for oligodendrocytes. Furthermore, it was shown that neither AAV nor lentiviral vectors generate a significant microglial response. The identification of AAV1 as the optimal serotype for transducing CSNs should facilitate the design of future gene therapy strategies targeting the CST for the treatment of SCI.","['Hutson', 'Verhaagen', 'Yáñez-Muñoz']",1,14,"tropism, transduction efficiency, transduction","liver, spinal cord",42,
,38130431,Comprehensive Comparison of AAV Purification Methods: Iodixanol Gradient Centrifugation vs. Immuno-Affinity Chromatography.,Advances in cell and gene therapy,2023,"Recombinant adeno-associated viruses (AAVs) have emerged as a widely used gene delivery platform for both basic research and human gene therapy. To ensure and improve the safety profile of AAV vectors, substantial efforts have been dedicated to the vector production process development using suspension HEK293 cells. Here, we studied and compared two downstream purification methods, iodixanol gradient ultracentrifugation versus immuno-affinity chromatography (POROS<sup>™</sup> CaptureSelect<sup>™</sup> AAVX column). We tested multiple vector batches that were separately produced (including AAV5, AAV8, and AAV9 serotypes). To account for batch-to-batch variability, each batch was halved for subsequent purification by either iodixanol gradient centrifugation or affinity chromatography. In parallel, purified vectors were characterized, and transduction was compared both <i>in vitro</i> and <i>in vivo</i> in mice (using multiple transgenes: Gaussia luciferase, eGFP, and human factor IX). Each purification method was found to have its own advantages and disadvantages regarding purity, viral genome (vg) recovery, and relative empty particle content. Differences in transduction efficiency were found to reflect batch-to-batch variability rather than disparities between the two purification methods, which were similarly capable of yielding potent AAV vectors.","['Lam', 'Mulcrone', 'Frabutt']",1,8,"transduction efficiency, transduction",liver,41,Not relevant
,16259563,Comparative efficacy of intratracheal adeno-associated virus administration to newborn rats.,Human gene therapy,2005,"Transient local overexpression of genes that promote lung defense or repair may help to protect or promote alveolar development in premature neonates. We showed that the use of adenoviral vectors in neonates was limited by the induction of lung growth disorders. In the present work we compare the efficiency of gene transfer to the neonatal lung by three adeno-associated viral vectors: rAAV1, rAAV2, and rAAV5. Transduction efficiency was first measured in vitro, by infecting A549 immortalized human lung epithelial cells, and primary epithelial and mesenchymal cells isolated from human fetal lung. AAV vectors yielded similar low levels of luciferase gene expression in the different cell types. In vivo transduction efficiency was evaluated in newborn rats, with AAV-LacZ vectors being intratracheally instilled at 3 days of age. Both rAAV5 and rAAV1, but not rAAV2, induced significant lung beta-galactosidase expression, which persisted on day 35. Highest beta- galactosidase levels were measured with rAAV5, but remained far lower than those obtained with adenoviral vectors. A transient increase in alveolar macrophages was observed on day 6, but not on day 8, after rAAV5-LacZ instillation. Morphometric evaluation of lung structures was performed on day 21, and showed no altered lung growth. We conclude that rAAV1 or rAAV5 was more efficient at mediating gene transfer in the neonatal lung than was rAAV2, without adversely affecting lung development. However, in vivo transgene expression was relatively low, and needs to be improved for future therapeutic use of these adeno-associated vectors.","['Fleurence', 'Riviere', 'Lacaze-Masmonteil']",1,12,"transduction efficiency, transduction, gene expression, transgene expression",lung,40,
,40777723,AAV6 vectors provide superior gene transfer compared to AAV9 vectors following intramyocardial administration.,Molecular therapy. Methods & clinical development,2025,"Cardiac gene therapy using adeno-associated viral (AAV) vectors holds great promise for treating heart diseases but would benefit from more potent AAV vectors. Vectors based on the AAV serotypes 6 and 9 have been used in pre-clinical gene therapy studies, yet the therapeutic outcomes varied depending on the experimental model and delivery route used. Here, we evaluated the transduction efficiency of AAV6, AAV9, and AAV9-derived MyoAAVs for local cardiac delivery. Vectors were tested in neonatal rat ventricular myocytes, and subsequently in mouse hearts by direct intramyocardial injection. Vector genome levels, mRNA expression levels, and fluorescence were measured. The AAV6 and AAV9 vectors were further validated in porcine hearts, human-induced pluripotent stem-cell-derived cardiomyocytes, and human atrial myocardial slices. In both rat cardiomyocytes and mouse hearts, AAV6 exhibited the highest transduction efficiency. Direct comparison of the AAV6 and AAV9 vectors in porcine and human models confirmed that AAV6 is more potent. In conclusion, AAV6 vectors are superior to AAV9 and its derivative vectors for cardiac transduction by direct intramyocardial injection. In addition, the <i>in vivo</i> transduction efficiency correlates with <i>in vitro</i> and <i>ex vivo</i> assays, thereby facilitating the development of more potent AAV variants for cardio-selective delivery methods.","['Wang', 'Jonker', 'Cervera-Barea']",1,10,"transduction efficiency, transduction","liver, heart, cardiac",40,
,41351408,AAV2/9 Enables Superior Germ Cell Transduction in Mouse Testes.,Frontiers in bioscience (Landmark edition),2025,"In contemporary gene therapy research, recombinant adeno-associated virus (rAAV) has emerged as a pivotal delivery vehicle due to its favorable safety profile and capacity for sustained transgene expression. The most commonly utilized rAAV variants are hybrid vectors constructed by packaging the AAV2 genome within the capsid proteins of alternative serotypes (e.g., AAV1, AAV5, AAV8, or AAV9). This chimeric design combines the stable genomic integration and long-term expression characteristics inherent to AAV2 with the distinct tissue tropisms conferred by different capsid serotypes. Consequently, these engineered rAAVs exhibit enhanced organ-targeting specificity, enabling more efficient and selective gene delivery to desired tissues while minimizing off-target effects. To identify the optimal hybrid vector for germ cell-directed gene delivery in mice, ten distinct chimeric AAV variants were generated by pseudotyping the AAV2 genome with diverse capsid proteins, followed by microinjection into seminiferous tubules via the efferent ducts. Transduction efficiency was comparatively evaluated at 4 weeks post-injection. We demonstrated that AAV2/9 mediated robust and widespread enhanced green fluorescent protein (EGFP) expression in the mouse testis. Through immunofluorescence assays, we demonstrated that AAV2/9 demonstrated the capability to express in nearly all testicular cells, with remarkable efficiency and durability. AAV2/9 demonstrated superior efficacy as a gene delivery vector for murine testicular germ cells without observable adverse effects on testicular development or spermatogenesis. This favorable safety profile, combined with high transduction efficiency establishes AAV2/9 as a promising candidate for therapeutic gene transfer to testicular germ cells. Collectively, our study identifies AAV2/9 as a premier vector for germ cell-directed gene therapy, providing crucial preclinical evidence to inform capsid selection for treating male infertility.","['Wu', 'Guo', 'Li']",1,17,"tropism, transduction efficiency, transduction, gene expression, transgene expression",liver,40,
,22966786,Comparison of adeno-associated virus serotypes and delivery methods for cardiac gene transfer.,Human gene therapy methods,2012,"Cardiac gene transfer is a potentially useful strategy for cardiovascular diseases. The adeno-associated virus (AAV) is a common vector to obtain transgene expression in the heart. Initial studies conducted in rodents used indirect intracoronary delivery for cardiac gene transfer. More recently AAV vectors with so-called cardiac tropism have enabled significant cardiac transgene expression following intravenous injection. However, a direct comparison of intravenous versus intracoronary delivery with rigorous quantification of cardiac transgene expression has not been conducted. In the present study we tested the hypothesis that intracoronary AAV delivery would be superior to intravenous delivery vis-à-vis cardiac transgene expression. We compared intravenous and intracoronary delivery of AAV5, AAV6, and AAV9 (5×10(11) genome copies per mouse). Using enhanced green fluorescent protein as a reporter, we quantified transgene expression by fluorescence intensity and Western blotting. Quantitative polymerase chain reaction (PCR) was also performed to assess vector DNA copies, employing primers against common sequences on AAV5, AAV6, and AAV9. Intracoronary delivery resulted in 2.6- to 28-fold higher transgene protein expression in the heart 3 weeks after AAV injection compared to intravenous delivery depending on AAV serotype. The highest level of cardiac gene expression was achieved following intracoronary delivery of AAV9. Intracoronary delivery of AAV9 is a preferred method for cardiac gene transfer.","['Fang', 'Lai', 'Gao']",1,12,"tropism, gene expression, transgene expression","liver, heart, cardiac",40,
,38596745,The significance of triple-capsid-mutant AAV8 for treatment of Sanfilippo Syndrome Type B.,Archives of stem cell and therapy,2022,"Sanfilippo Syndrome Type-B remains an untreatable childhood neurodegenerative disease with great burden for both patient and caregiver. Very few clinical trials have been undertaken to treat the disease, and none of these have yet yielded clinically obtainable products for patients. Caused by a simple enzyme function deficiency, Sanfilippo Syndrome Type-B has been considered a great prospect for gene-therapy interventions. Adeno-associated virus (AAV) remains a major choice for therapeutic gene delivery due to its relatively low-immunogenicity, versatility and tissue tropism. However, many clinical trials with AAV continue to use wild-type capsids, which in many cases are not able to reach stable transgene expression for long enough to be clinically effective in most cases. Previous research in AAV gene-therapy has created a litany of novel AAV capsids that can improve overall transduction efficiency far above that of wild-type AAV capsids. One such example is the triple-capsid mutant AAV8 (TCM8), which has been shown to exhibit transgene expression far superior to other capsids in Sanfilippo mouse models, specifically. Originally designed to bypass capsid ubiquitination intracellularly, mouse studies suggest this TCM8 vector outperforms both AAV5 and AAV9 when delivered to the central nervous system. This implies it as an ideal contender for an effective gene-therapy clinical trial candidate and has the potential to advance the progress of Sanfilippo Syndrome treatment. Here we provide commentary on the TCM8 vector and its context in the field of Sanfilippo Syndrome Type-B research.","['Ashby', 'Heldermon']",1,17,"tropism, transduction efficiency, transduction, gene expression, transgene expression",liver,40,Review article
,41361083,Intranasal versus intravenous AAV delivery: A comparative analysis of brain-targeting efficiency and peripheral exposure in mice.,Gene therapy,2025,"Adeno-associated viruses (AAVs) hold significant promise for gene therapy targeting the central nervous system (CNS). However, current delivery methods are either invasive or cause significant systemic exposure. Intranasal (IN) delivery presents a promising noninvasive alternative for direct CNS targeting, though its efficacy in delivering AAVs to the brain has seldom been explored. Here, we quantitatively assessed AAV transduction in the brain and peripheral organs of Swiss, BALB/c, and C57BL/6 J mice following IN administration, using intravenous (IV) injection as a benchmark for comparison. Our findings revealed that IN administration of the AAV9 vector achieved approximately 15% of the transduction efficiency and 9% of the gene expression levels observed with IV delivery. Importantly, IN delivery significantly reduced systemic exposure to most major peripheral organs by up to 1.34 × 10<sup>4</sup>-fold compared to IV injection. The ratios of gene transduction between the brain and various peripheral tissues were calculated, revealing that for key organs such as the liver, stomach, kidney, and spleen, IN delivery achieved higher brain-to-peripheral transduction ratios than IV delivery. These findings underscore the potential of IN delivery for noninvasive brain-targeted gene delivery with significant reductions in peripheral exposure.","['Chukwu', 'Yuan', 'Chen']",1,14,"transduction efficiency, transduction, gene expression, iv injection","liver, brain, kidney",39,Clipped y axis make it difficult to extract data
,28125921,Systemic and Persistent Muscle Gene Expression in Rhesus Monkeys with a Liver De-Targeted Adeno-Associated Virus Vector.,Human gene therapy,2017,"The liver is a major off-target organ in gene therapy approaches for cardiac and musculoskeletal disorders. Intravenous administration of most of the naturally occurring adeno-associated virus (AAV) strains invariably results in vector genome sequestration within the liver. In the current study, we compared the muscle tropism and transduction efficiency of a liver de-targeted AAV variant to AAV9 following systemic administration in newborn rhesus monkeys. In vivo bioluminescence imaging was performed to monitor transgene expression (firefly luciferase) post administration. Results indicated comparable and sustained levels of systemic firefly luciferase gene expression in skeletal muscle over a period of two years. Quantitation of vector biodistribution in harvested tissues post-administration revealed widespread recovery of vector genomes delivered by AAV9 but markedly decreased levels in major systemic organs from the AAV variant. These studies validate the translational potential and safety of liver de-targeted AAV strains for gene therapy of muscle-related diseases.","['Tarantal', 'Lee', 'Martinez']",1,26,"tropism, biodistribution, transduction efficiency, transduction, gene expression, transgene expression","liver, muscle, cardiac, skeletal muscle",39,
,39108635,Enhanced AAV transduction across preclinical CNS models: A comparative study in human brain organoids with cross-species evaluations.,Molecular therapy. Nucleic acids,2024,"Viral vectors based on recombinant adeno-associated virus (rAAV) have become the most widely used system for therapeutic gene delivery in the central nervous system (CNS). Despite clinical safety and efficacy in neurological applications, a barrier to adoption of the current generation of vectors lies in their limited efficiency, resulting in limited transduction of CNS target cells. To address this limitation, researchers have bioengineered fit-for-purpose AAVs with improved CNS tropism and tissue penetration. While the preclinical assessment of these novel AAVs is primarily conducted in animal models, human induced pluripotent stem cell (hiPSC)-derived organoids offer a unique opportunity to functionally evaluate novel AAV variants in a human context. In this study, we performed a comprehensive and unbiased evaluation of a large number of wild-type and bioengineered AAV capsids for their transduction efficiency in hiPSC-derived brain organoids. We demonstrate that efficient AAV transduction observed in organoids was recapitulated <i>in vivo</i> in both mouse and non-human primate models after cerebrospinal fluid (CSF) delivery. In summary, our study showcases the use of brain organoid systems for the pre-screening of novel AAV vectors. Additionally, we report data for novel AAV variants that exhibit improved CNS transduction efficiency when delivered via the CSF in <i>in vivo</i> preclinical models.","['Drouyer', 'Merjane', 'Nedelkoska']",1,14,"tropism, transduction efficiency, transduction","liver, brain",39,Human Brain Organoid
